# Date Time-Timezone RightMotor RightOppositeMotor
2016-11-09 04:33:18-      0  
2016-11-09 04:33:19-      0  
2016-11-09 04:33:20-      0  
2016-11-09 04:33:21-      0  
2016-11-09 04:33:22-      0  
2016-11-09 04:35:37-      0   0  
2016-11-09 04:35:38-      0   0  
2016-11-09 04:35:39-      0   0  
2016-11-09 04:35:40-      0   0  
2016-11-09 04:35:41-      0   0  
2016-11-09 04:35:42-      0   0  
2016-11-09 04:35:43-      0   0  
2016-11-09 04:35:44-      0   0  
2016-11-09 05:04:31-      0   0  
2016-11-09 05:04:32-      0   0  
2016-11-09 05:04:33-      0   0  
2016-11-09 05:04:34-      0   0  
